Grade,Groupe,Technique (thaï),Description
Jaune,Sinlapa Muay,Kat Muay,Garde de base
Jaune,Sinlapa Muay,Leng Cheung,Déplacements
Jaune,Muay Mat,Mat Trong,Coup de poing direct
Jaune,Muay Mat,Mat Wiyeng San,Crochet
Jaune,Muay Tei,Tei Chiang,Coup de pied circulaire médian
Jaune,Muay Tei,Tei Trong,Coup de pied frontal
Jaune,Muay Khao,Khao Trong,Genou direct
Jaune,Muay Pam,Tchap Kho,Saisie à la tête
Jaune,Muay Bang,Bang Mat,Parade avec les bras
Jaune,Muay Bang,Bang Tei,Parade avec les jambes
Orange,Sinlapa Muay,Piyen Liem Kat,Changement de garde en déplacement
Orange,Muay Mat,Mat Soy,Uppercut
Orange,Muay Mat,Mat Wiyeng Yao,Coup de poing circulaire long
Orange,Muay Tei,Tip Kang,Coup de pied latéral
Orange,Muay Tei,Tei Kan Kro,Coup de pied circulaire haut
Orange,Muay Khao,Khao Chiyang,Petit genou circulaire
Orange,Muay Khao,Khao Kong,Grand genou circulaire
Orange,Muay Pam,Lat Eo,Saisie au corps
Orange,Muay Pam,Lat Ken,Saisie des bras
Orange,Muay Bang,Bang Khao,Parade avec genou
Orange,Muay Bang,Bang Tchak,Esquive avec déplacement d’appui
Vert,Sinlapa Muay,Ten,Transfert du poids
Vert,Sinlapa Muay,Sueb Tao,Pas chassé
Vert,Muay Mat,Mat Klap Lang,Poing retourné
Vert,Muay Tei,Tip Thop,Teep circulaire de revers
Vert,Muay Tei,Tei Kot,Coup de pied vertical (plante du pied)
Vert,Muay Tei,Tei Kro,Coup de pied vertical (talon)
Vert,Muay Khao,Khao Thop,Genou circulaire intérieur
Vert,Muay Khao,Khao Tat,Genou circulaire à la cuisse
Vert,Muay Sok,Tii Sok,Coude direct
Vert,Muay Sok,Sok Tat,Coude circulaire descendant
Vert,Muay Pam,Tchap Kha,Saisie des jambes
Vert,Muay Bang,Bang Sok,Parade avec le coude
Vert,Muay Bang,Yok Toa Lop,Esquive sans déplacement d’appuis
